X1,SessionID,Series,Target_Competitor,Role,Soundfile,Modifier,Transcription,SpeechFluency,Adjective,RelevantMod,Onset,Comments,ShiftDir,Fluency,Misspec
479,15,14,gun_real / gun_toy,Test,T_14.wav,1,uh real gun,FP,PR,PR,1516,,Contrast_Singleton,Low,TRUE
480,15,15,saddle_horse / saddle_bike,Test,T_15.wav,1,uh horses saddle,FP,PR,PR,2893,,Contrast_Singleton,Low,TRUE
481,15,16,pad_unlocked / pad_locked,Test,T_16.wav,0,uh padlock,FP,NO,NO,2613,,Contrast_Singleton,Low,FALSE
482,15,17,headphones_large / headphones_small,Test,T_17.wav,1,uh big headphones,FP,PR,PR,1477,,Contrast_Singleton,Low,TRUE
483,15,18,battery_AA / battery_car,Test,T_18.wav,1,uh thin battery,FP,PR,PR,1283,,Contrast_Singleton,Low,TRUE
484,15,19,wine_glass / wine_red,Test,T_19.wav,0,uh wine glass,FP,NO,NO,2391,,Contrast_Singleton,Low,FALSE
485,15,20,money_notes / money_coins,Test,T_20.wav,1,uh paper money,FP,PR,PR,1677,,Contrast_Singleton,Low,TRUE
486,15,21,boot_foot / boot_car,Test,T_21.wav,0,umm the boot,FP,NO,NO,2235,,Contrast_Singleton,Low,FALSE
487,15,22,camera_corder / camera_cctv,Test,T_22.wav,1,uh hand camera,FP,PR,PR,1903,very hard to find onset,Contrast_Singleton,Low,TRUE
488,15,23,guitar_acoustic / guitar_electric,Test,T_23.wav,0,uhh guitar,FP,NO,NO,2778,,Contrast_Singleton,Low,FALSE
489,15,24,glove_wooly / glove_boxing,Test,T_24.wav,1,uh woolen glove,FP,PR,PR,2588,,Contrast_Singleton,Low,TRUE
490,15,25,teapot_white / teapot_cosy,Test,T_25.wav,1,uh a white teapot,FP,PR,PR,2334,,Singleton_Contrast,High,FALSE
491,15,27,saw_hand / saw_electric,Test,T_27.wav,0,saw um the hand saw,RE,AS,,NA,,Singleton_Contrast,High,TRUE
492,15,29,orange_skin / orange_slice,Test,T_29.wav,0,"uh orange, um an unpeeled orange",RE,AS,,NA,,Singleton_Contrast,High,TRUE
493,15,30,spade_garden / spade_beach,Test,T_30.wav,0,"uh spade um a, a garden shovel",RE,AS,,NA,,Singleton_Contrast,High,TRUE
494,15,31,key_gold / key_car,Test,T_31.wav,0,"key, (WO?) oh the brass key",RE,AO,,NA,,Singleton_Contrast,High,TRUE
495,15,32,door_handle / door_knob,Test,T_32.wav,0,"uh crown door handle (WO?) like a dull steel, more matte than gloss, itÍs a straightƒ",RE,AO,,NA,,Singleton_Contrast,High,TRUE
496,15,33,bell_hand / bell_bike,Test,T_33.wav,0,uh bell (WO?)oh a hand bell,RE,AO,,NA,,Singleton_Contrast,High,TRUE
497,15,34,cheese_block / cheese_blue,Test,T_34.wav,1,ehh (mumbles) the cheese with no blue bits in,FP,PO,PO,6442,,Singleton_Contrast,High,FALSE
498,15,37,clock_wall / clock_digital,Test,T_37.wav,1,analogue clock,FL,PR,PR,1089,,Contrast_Singleton,High,TRUE
499,15,38,hat_sun / hat_cowboy,Test,T_38.wav,0,a hat ,FL,NO,NO,1294,,Contrast_Singleton,High,FALSE
500,15,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,a pen,FL,NO,NO,2171,,Contrast_Singleton,High,FALSE
501,15,40,apple_red / apple_green,Test,T_40.wav,0,apple,FL,NO,NO,2061,,Contrast_Singleton,High,FALSE
502,15,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,1,smoking pipe,FL,PR,PR,1247,,Contrast_Singleton,High,TRUE
503,15,42,bat_animal / bat_baseball,Test,T_42.wav,1,animal bat,FL,PR,PR,1087,,Contrast_Singleton,High,TRUE
504,15,43,horse_animal / horse_rocking,Test,T_43.wav,0,a uh horse,FP,NO,NO,3447,,Contrast_Singleton,High,FALSE
505,15,44,tshirt_round / tshirt_vneck,Test,T_44.wav,1,dark yellow tshirt,FL,PR,PR,1540,,Contrast_Singleton,High,TRUE
506,15,46,eye_pupil / I_letter,Test,T_46.wav,1,human eye,FL,PR,PR,1425,,Contrast_Singleton,High,TRUE
507,15,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,1,unpeeled potatoes,FL,PR,PR,2558,,Contrast_Singleton,High,TRUE
508,16,2,bin_lid / bin_pedal,Test,T_02.wav,1,black bin that isnt a pedal bin,FL,PR,PO,1083,,Contrast_Singleton,High,TRUE
509,16,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,cup of coffee without the plate,FL,PO,PO,853,,Contrast_Singleton,High,TRUE
510,16,5,mirror_wall / mirror_hand,Test,T_05.wav,1,a wall mirror,FL,PR,PR,1033,hard to find onset of wall,Contrast_Singleton,High,TRUE
511,16,6,chair_wooden / chair_baby,Test,T_06.wav,1,wooden chair,FL,PR,PR,865,,Contrast_Singleton,High,TRUE
512,16,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,lighter with a flame,FL,PO,PO,1378,,Contrast_Singleton,High,TRUE
513,16,8,egg_shell / egg_yolk,Test,T_08.wav,1,a whole egg,FL,PR,PR,963,,Contrast_Singleton,High,TRUE
514,16,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,open red umbrella,FL,PR,PR,1157,,Contrast_Singleton,High,TRUE
515,16,10,candle_unused / candle_melted,Test,T_10.wav,1,candle that's not been lit,FL,PO,PO,1370,,Contrast_Singleton,High,TRUE
516,16,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,normal knife not a swiss army knife,FL,PR,OTHER,1296,,Contrast_Singleton,High,TRUE
517,16,12,car_family / car_sports,Test,T_12.wav,1,small unsporty car,FL,PR,PR,981,,Contrast_Singleton,High,TRUE
518,16,14,gun_real / gun_toy,Test,T_14.wav,1,a gun not the one with a red tip,FL,PO,PO,2160,,Singleton_Contrast,Low,FALSE
519,16,16,pad_unlocked / pad_locked,Test,T_16.wav,0,padlock (WO?) eh the open one,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
520,16,17,headphones_large / headphones_small,Test,T_17.wav,0,headphones (WO?) oh uhh actual headphones not earphones,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
521,16,18,battery_AA / battery_car,Test,T_18.wav,0,battery (WO?) uhh the small AA battery,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
522,16,19,wine_glass / wine_red,Test,T_19.wav,0,"wine glass, empty wine glass",RE,AS,,NA,,Singleton_Contrast,Low,TRUE
523,16,20,money_notes / money_coins,Test,T_20.wav,0,money (WO?) uhh the bank notes,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
524,16,22,camera_corder / camera_cctv,Test,T_22.wav,0,camera (WO?) uh not the security camera,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
525,16,24,glove_wooly / glove_boxing,Test,T_24.wav,0,red glove (WO?) uhh not the boxing glove,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
526,16,25,teapot_white / teapot_cosy,Test,T_25.wav,1,white teapot,FL,PR,PR,911,,Contrast_Singleton,Low,TRUE
527,16,27,saw_hand / saw_electric,Test,T_27.wav,1,handheld saw,FL,PR,PR,1136,,Contrast_Singleton,Low,TRUE
528,16,28,fan_hand / fan_electric,Test,T_28.wav,1,handheld fan,FL,PR,PR,765,,Contrast_Singleton,Low,TRUE
529,16,29,orange_skin / orange_slice,Test,T_29.wav,1,whole orange,FL,PR,PR,1573,,Contrast_Singleton,Low,TRUE
530,16,30,spade_garden / spade_beach,Test,T_30.wav,1,metal spade,FL,PR,PR,1258,,Contrast_Singleton,Low,TRUE
531,16,31,key_gold / key_car,Test,T_31.wav,1,bronze key,FL,PR,PR,1280,,Contrast_Singleton,Low,TRUE
532,16,32,door_handle / door_knob,Test,T_32.wav,1,door handle not door knob,FL,PO,PO ,1580,,Contrast_Singleton,Low,TRUE
533,16,33,bell_hand / bell_bike,Test,T_33.wav,1,hand held bell,FL,PR,PR,1839,,Contrast_Singleton,Low,TRUE
534,16,34,cheese_block / cheese_blue,Test,T_34.wav,1,holey cheese,FL,PR,PR,1260,,Contrast_Singleton,Low,TRUE
535,16,38,hat_sun / hat_cowboy,Test,T_38.wav,0,"straw hat (WO?) uhh the one with the black trim, the ladies hat",RE,AO,,NA,,Singleton_Contrast,High,TRUE
536,16,39,pen_ballpoint / pen_nolid,Test,T_39.wav,0,blue biro pen (WO?) uhh with the lid on,RE,AO,,NA,,Singleton_Contrast,High,TRUE
537,16,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,0,a pipe,FL,NO,NO,1458,,Singleton_Contrast,High,TRUE
538,16,42,bat_animal / bat_baseball,Test,T_42.wav,0,bat (WO?) uh bat the animal,RE,AO,,NA,,Singleton_Contrast,High,TRUE
539,16,43,horse_animal / horse_rocking,Test,T_43.wav,0,a horse uhhh (which…) the real life horse not the rocking horse,RE,AO/AS,,NA,,Singleton_Contrast,High,TRUE
540,16,44,tshirt_round / tshirt_vneck,Test,T_44.wav,0,"yellow tshirt, male tshirt",RE,AS,,NA,immediate correction ,Singleton_Contrast,High,TRUE
541,16,46,eye_pupil / I_letter,Test,T_46.wav,0,black and white image of an eye (WO?) oh a human eye not a letter I,RE,AO,,NA,,Singleton_Contrast,High,TRUE
542,16,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,0,pile of potatoes (WO?) uhh with the skins on,RE,AO,,NA,,Singleton_Contrast,High,TRUE
543,17,2,bin_lid / bin_pedal,Test,T_02.wav,1,plastic trash can,FL,PR,PR,1110,,Contrast_Singleton,Low,TRUE
544,17,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,cup of coffee without a saucer,FL,PO,PO,1190,,Contrast_Singleton,Low,TRUE
545,17,5,mirror_wall / mirror_hand,Test,T_05.wav,1,fancy mirror,FL,PR,PR,1220,,Contrast_Singleton,Low,TRUE
546,17,6,chair_wooden / chair_baby,Test,T_06.wav,1,wooden chair,FL,PR,PR,1257,,Contrast_Singleton,Low,TRUE
