SessionID,Series,Role,Soundfile,Target_Competitor,Modifier,Transcription,Fluency,Adjective,Onset(ms),Comments,X12,X13,X14,X15,X16,X17,X18
2,33,Training,Z_33_06.wav,bell_hand / bell_bike,0,same bell**** previous trial 'uh bell.. same bell as before' repeated bell,FL,PR,1094,CHECK - PR??,,,,,,,
2,34,Training,Z_34_08.wav,cheese_block / cheese_blue,1,(speech at start from last trial) swiss cheese,FL,PR,1441,check,,,,,,,
2,35,Training,Z_35_08.wav,bee_honey / B_letter,1,uhh bee the insect,FP,PO,1622,check PO,,,,,,,
2,36,Training,Z_36_09.wav,phone_office / phone_mobile,1,landline phone,FL,PR,1135,,,,,,,,
2,37,Training,Z_37_08.wav,clock_wall / clock_digital,0,clock,FL,NO,1388,,,,,,,,
2,38,Training,Z_38_07.wav,hat_sun / hat_cowboy,1,uh sun hat,FP,PR,1367,,,,,,,,
2,39,Training,Z_39_09.wav,pen_ballpoint / pen_nolid,0,uhhh biro,FP,NO,2510,,,,,,,,
2,40,Training,Z_40_08.wav,apple_red / apple_green,0,uuum apple,FP,NO,2459,,,,,,,,
2,41,Training,Z_41_07.wav,pipe_smoke / pipe_kitchen,0,pipe,FL,NO,1126,,,,,,,,
2,42,Training,Z_42_07.wav,bat_animal / bat_baseball,0,bat,FL,NO,1292,,,,,,,,
2,43,Training,Z_43_07.wav,horse_animal / horse_rocking,0,horse,FL,NO,1096,,,,,,,,
2,44,Training,Z_44_09.wav,tshirt_round / tshirt_vneck,0,yellow tshirt,FL,NO,1514,,,,,,,,
2,45,Training,Z_45_09.wav,glasses_reading / glasses_drinking,0,glasss..es,LE,NO,903,,,,,,,,
2,46,Training,Z_46_09.wav,eye_pupil / I_letter,0,uhh eye,FP,NO,2220,,,,,,,,
2,47,Training,Z_47_07.wav,potatoes_skin / potatoes_peeled,0,pile of potatoes,FL,NO,1363,,,,,,,,
2,48,Training,Z_48_09.wav,mouse_computer / mouse_animal,1,computer mouse,FL,PR,1712,,,,,,,,
3,1,Test,T_01.wav,spoon_reg / spoon_wooden,1,silver spoon,FL,PR,871,,,,,,,,
3,2,Test,T_02.wav,bin_lid / bin_pedal,1,square based black bin,FL,PR,1008,,,,,,,,
3,3,Test,T_03.wav,bike_mountain / bike_motor,1,bicycle,FL,NO,859,,,,,,,,
3,4,Test,T_04.wav,coffee_cup / coffee_saucer,1,cup of coffee no coaster,FL,PO,1056,,,,,,,,
3,5,Test,T_05.wav,mirror_wall / mirror_hand,1,large black circular mirror,FL,PR,1014,,,,,,,,
3,6,Test,T_06.wav,chair_wooden / chair_baby,1,uh wooden chair,FP,PR,1627,,,,,,,,
3,7,Test,T_07.wav,lighter_flame / lighter_noflame,1,a burning lighter,FL,PR,1152,,,,,,,,
3,8,Test,T_08.wav,egg_shell / egg_yolk,1,whole egg,FL,PR,635,CHECK THIS!!,,,,,,,
3,9,Test,T_09.wav,umbrella_open / umbrella_closed,1,uhh red open umbrella,FP,PR,2754,,,,,,,,
3,10,Test,T_10.wav,candle_unused / candle_melted,1,unburnt candle,FL,PR,1561,,,,,,,,
3,11,Test,T_11.wav,knife_kitchen / knife_swiss,1,large black handled knife,,,,,,,,,,,
3,12,Test,T_12.wav,car_family / car_sports,1,small silver hatchback,,,,,,,,,,,
3,13,Test,T_13.wav,lamp_bedroom / lamp_lava,1,eh white lamp with shade,,,,,,,,,,,
3,14,Test,T_14.wav,gun_real / gun_toy,0,gun {WO?} oh uh silver gun not black gun,,,,,,,,,,,
3,15,Test,T_15.wav,saddle_horse / saddle_bike,0,saddle…a horse saddle,,,,,,,,,,,
3,16,Test,T_16.wav,pad_unlocked / pad_locked,1,unlocked padlock,,,,,,,,,,,
3,17,Test,T_17.wav,headphones_large / headphones_small,1,um black headphones not earphones,,,,,,,,,,,
3,18,Test,T_18.wav,battery_AA / battery_car,0,eh battery {WO?} oh um AA battery,,,,,,,,,,,
3,19,Test,T_19.wav,wine_glass / wine_red,1,empty wine glass,,,,,,,,,,,
3,20,Test,T_20.wav,money_notes / money_coins,0,"cash,money {uh WO?} oh the notes!",,,,,,,,,,,
3,21,Test,T_21.wav,boot_foot / boot_car,1,black boot,,,,colour as a mod here,,,,,,,
3,22,Test,T_22.wav,camera_corder / camera_cctv,1,uh ca…ff eh a carrier camera not security camera (think modifier used just not sure how to say it),,,,check,,,,,,,
3,23,Test,T_23.wav,guitar_acoustic / guitar_electric,0,"ah guitar {WO} oh uh wooden, wooden guitar",,,,,,,,,,,
3,24,Test,T_24.wav,glove_wooly / glove_boxing,0,"red glove {WO?} h uh red winter glove, not bvxoing glove, winter glove",,,,,,,,,,,
3,25,Test,T_25.wav,teapot_white / teapot_cosy,1,a bare teapot,,,,,,,,,,,
3,26,Test,T_26.wav,helmet_bike / helmet_builders,1,a bike helmet,,,,,,,,,,,
3,27,Test,T_27.wav,saw_hand / saw_electric,1,a manual saw,,,,,,,,,,,
3,28,Test,T_28.wav,fan_hand / fan_electric,1,handheld fan,,,,,,,,,,,
3,29,Test,T_29.wav,orange_skin / orange_slice,1,whole orange,,,,,,,,,,,
3,30,Test,T_30.wav,spade_garden / spade_beach,1,metal shovel,,,,,,,,,,,
3,31,Test,T_31.wav,key_gold / key_car,1,golden key,,,,,,,,,,,
3,32,Test,T_32.wav,door_handle / door_knob,1,long door handle,,,,,,,,,,,
3,33,Test,T_33.wav,bell_hand / bell_bike,1,hand held bell,,,,,,,,,,,
3,34,Test,T_34.wav,cheese_block / cheese_blue,1,cheese with no mould,,,,,,,,,,,
3,35,Test,T_35.wav,bee_honey / B_letter,1,bumblebee,,,,,,,,,,,
3,36,Test,T_36.wav,phone_office / phone_mobile,1,eh black landline telephone,,,,,,,,,,,
3,37,Test,T_37.wav,clock_wall / clock_digital,1,wall mounted clock,,,,,,,,,,,
3,38,Test,T_38.wav,hat_sun / hat_cowboy,1,large (?) eh sun hat not rodeo hat sun hat,,,,,,,,,,,
3,39,Test,T_39.wav,pen_ballpoint / pen_nolid,0,blue bic pen {WO?} oh eh cap on,,,,,,,,,,,
3,40,Test,T_40.wav,apple_red / apple_green,1,red apple,,,,,,,,,,,
3,41,Test,T_41.wav,pipe_smoke / pipe_kitchen,1,eh old smoke pipe,,,,,,,,,,,
3,42,Test,T_42.wav,bat_animal / bat_baseball,1,eh flying bat,,,,,,,,,,,
3,43,Test,T_43.wav,horse_animal / horse_rocking,0,brown horse,,,,,,,,,,,
3,44,Test,T_44.wav,tshirt_round / tshirt_vneck,0,yellow tshirt,,,,,,,,,,,
